n	antprob	prob_change	variance	rich	connect	autoval	max_autoval
B_NS-PP-bezerra-et-al-2009	0,014761578	0,418091909	0,165	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,709487381	0,668118483	172,43	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,419886746	0,308369171	130,632	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,079326932	0,444329554	0,774	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,207266249	0,253643417	15,471	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,541715452	0,687980341	161,319	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,561192749	0,642725221	95,777	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,930934102	0,764119287	216,084	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,899464558	0,222640976	307,375	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,264844946	0,0614592	22,327	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,384121204	0,088946472	159,682	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,760983767	0,789147376	116,141	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,022226855	0,780689683	0,092	26	0,105	7,29	8,426
B_NS-PP-mosquin-1967	0,201077247	0,976398579	20,022	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,301479644	0,196985664	77,978	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,032702569	0,870658973	0,131	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,326735531	0,371884497	66,91	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,659676172	0,017551076	437,626	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,865205467	0,931827846	71,226	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,577927373	0,836516923	128,891	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,655626818	0,335296718	203,275	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,04262648	0,892354864	0,473	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,399407716	0,384517115	143,442	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,354067701	0,500398535	32,718	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,871595665	0,744436909	286,291	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,973054043	0,470484657	138,369	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,654276642	0,032928874	197,922	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,996414242	0,97541506	142,136	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,324919313	0,78401895	39,238	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,351274706	0,15489951	89,695	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,390460377	0,510477103	106,205	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,205428157	0,973054774	31,064	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,418356381	0,172259687	117,19	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,06394963	0,713268274	4,354	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,100464645	0,941847322	18,98	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,124376196	0,580517148	6,22	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,825007585	0,194741321	163,001	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,470395668	0,004813584	231,71	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,269046243	0,263688887	27,626	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,200473163	0,768440269	25,656	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,14807092	0,589016364	13,195	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,083581017	0,337163288	2,396	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,751916725	0,917124852	238,276	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,644924703	0,267259522	147,729	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,099473553	0,60448199	9,123	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,005969891	0,114123917	0,416	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,582539819	0,020248261	309,881	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,860585611	0,432675638	223,53	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,869439285	0,756219554	238,275	30	0,054	5,167	7
