n	antprob	prob_change	variance	rich	connect	autoval	max_autoval
B_NS-PP-bezerra-et-al-2009	0,7	0,3	269,101	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,8	0,3	303,727	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,9	0,3	235,882	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	1	0,3	197,09	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0	0,4	0,09	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,1	0,4	1,367	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,2	0,4	70,194	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,3	0,4	65,467	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,4	0,4	34,277	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,5	0,4	152,263	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,6	0,4	189,419	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,7	0,4	29,767	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,8	0,4	118,665	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,9	0,4	107,066	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	1	0,4	83,275	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0	0,5	0,088	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,1	0,5	36,554	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,2	0,5	38,036	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,3	0,5	49,625	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,4	0,5	51,027	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,5	0,5	60,066	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,6	0,5	57,384	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,7	0,5	161,441	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,8	0,5	191,35	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,9	0,5	203,743	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	1	0,5	221,403	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0	0,6	0,125	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,1	0,6	1,062	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,2	0,6	2,557	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,3	0,6	81,817	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,4	0,6	59,294	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,5	0,6	218,831	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,6	0,6	97,815	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,7	0,6	119,022	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,8	0,6	183,454	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,9	0,6	124,053	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	1	0,6	178,288	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0	0,7	0,113	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,1	0,7	1,082	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,2	0,7	43,022	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,3	0,7	39,299	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,4	0,7	22,201	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,5	0,7	140,183	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,6	0,7	34,335	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,7	0,7	140,972	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,8	0,7	260,863	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,9	0,7	141,071	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	1	0,7	190,175	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0	0,8	0,077	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,1	0,8	0,578	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,2	0,8	22,697	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,3	0,8	39,607	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,4	0,8	58,47	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,5	0,8	54,774	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,6	0,8	196,619	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,7	0,8	161,445	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,8	0,8	135,414	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,9	0,8	124,154	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	1	0,8	182,784	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0	0,9	0,126	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,1	0,9	0,896	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,2	0,9	10,159	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,3	0,9	27,183	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,4	0,9	63,549	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,5	0,9	37,08	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,6	0,9	172,129	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,7	0,9	125,589	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,8	0,9	181,203	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,9	0,9	141,601	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	1	0,9	167,153	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0	1	0,071	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,1	1	0,52	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,2	1	11,135	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,3	1	21,607	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,4	1	111,927	26	0,105	7,29	8,426
