File	N.modules	Modularity	P.Null1	P.Null2
B_NS-PP-bezerra-et-al-2009_init_18.txt	3	0.230113	0.000000	0.000000
B_NS-PP-bezerra-et-al-2009_init_19.txt	3	0.230113	0.000000	0.000000
B_NS-PP-bezerra-et-al-2009_init_2.txt	3	0.230113	0.000000	0.000000
B_NS-PP-bezerra-et-al-2009_init_20.txt	3	0.230113	0.000000	0.000000
B_NS-PP-bezerra-et-al-2009_init_21.txt	3	0.230113	0.000000	0.000000
B_NS-PP-bezerra-et-al-2009_init_22.txt	3	0.230113	0.000000	0.000000
B_NS-PP-bezerra-et-al-2009_init_23.txt	3	0.230113	0.000000	0.000000
B_NS-PP-bezerra-et-al-2009_init_24.txt	3	0.230113	0.000000	0.000000
B_NS-PP-bezerra-et-al-2009_init_25.txt	3	0.230113	0.000000	0.000000
B_NS-PP-bezerra-et-al-2009_init_26.txt	3	0.230113	0.000000	0.000000
B_NS-PP-bezerra-et-al-2009_init_27.txt	3	0.230113	0.000000	0.000000
B_NS-PP-bezerra-et-al-2009_init_28.txt	3	0.230113	0.000000	0.000000
B_NS-PP-bezerra-et-al-2009_init_29.txt	3	0.230113	0.000000	0.000000
B_NS-PP-bezerra-et-al-2009_init_3.txt	3	0.230113	0.000000	0.000000
B_NS-PP-bezerra-et-al-2009_init_30.txt	3	0.230113	0.000000	0.000000
B_NS-PP-bezerra-et-al-2009_init_4.txt	3	0.230113	0.000000	0.000000
B_NS-PP-bezerra-et-al-2009_init_5.txt	3	0.230113	0.000000	0.000000
B_NS-PP-bezerra-et-al-2009_init_6.txt	3	0.230113	0.000000	0.000000
B_NS-PP-bezerra-et-al-2009_init_7.txt	3	0.230113	0.000000	0.000000
B_NS-PP-bezerra-et-al-2009_init_8.txt	3	0.230113	0.000000	0.000000
B_NS-PP-bezerra-et-al-2009_init_9.txt	3	0.230113	0.000000	0.000000
B_NS-PP-mosquin-1967_final_coevo_1.txt	7	0.458061	0.000000	0.000000
B_NS-PP-mosquin-1967_final_coevo_10.txt	7	0.750473	0.000000	0.000000
B_NS-PP-mosquin-1967_final_coevo_11.txt	6	0.617122	0.000000	0.000000
B_NS-PP-mosquin-1967_final_coevo_12.txt	5	0.391087	0.000000	0.000000
B_NS-PP-mosquin-1967_final_coevo_13.txt	6	0.526171	0.000000	0.000000
B_NS-PP-mosquin-1967_final_coevo_14.txt	6	0.539352	0.000000	0.000000
B_NS-PP-mosquin-1967_final_coevo_15.txt	8	0.639715	0.000000	0.000000
B_NS-PP-mosquin-1967_final_coevo_16.txt	5	0.391087	0.000000	0.000000
B_NS-PP-mosquin-1967_final_coevo_17.txt	7	0.646684	0.000000	0.000000
B_NS-PP-mosquin-1967_final_coevo_18.txt	7	0.464826	0.000000	0.000000
B_NS-PP-mosquin-1967_final_coevo_19.txt	9	0.584807	0.000000	0.000000
B_NS-PP-mosquin-1967_final_coevo_2.txt	5	0.550926	0.000000	0.000000
B_NS-PP-mosquin-1967_final_coevo_20.txt	6	0.502770	0.000000	0.000000
B_NS-PP-mosquin-1967_final_coevo_21.txt	7	0.630202	0.000000	0.000000
B_NS-PP-mosquin-1967_final_coevo_22.txt	6	0.629553	0.000000	0.000000
B_NS-PP-mosquin-1967_final_coevo_23.txt	8	0.724800	0.000000	0.000000
B_NS-PP-mosquin-1967_final_coevo_24.txt	8	0.725898	0.000000	0.000000
B_NS-PP-mosquin-1967_final_coevo_25.txt	7	0.423469	0.000000	0.000000
B_NS-PP-mosquin-1967_final_coevo_26.txt	6	0.537143	0.000000	0.000000
B_NS-PP-mosquin-1967_final_coevo_27.txt	6	0.390675	0.000000	0.000000
B_NS-PP-mosquin-1967_final_coevo_28.txt	6	0.582726	0.000000	0.000000
B_NS-PP-mosquin-1967_final_coevo_29.txt	4	0.468254	0.000000	0.000000
B_NS-PP-mosquin-1967_final_coevo_3.txt	7	0.699588	0.000000	0.000000
B_NS-PP-mosquin-1967_final_coevo_30.txt	5	0.421728	0.000000	0.000000
B_NS-PP-mosquin-1967_final_coevo_4.txt	5	0.671111	0.000000	0.000000
B_NS-PP-mosquin-1967_final_coevo_5.txt	8	0.653846	0.000000	0.000000
B_NS-PP-mosquin-1967_final_coevo_6.txt	7	0.692602	0.000000	0.000000
B_NS-PP-mosquin-1967_final_coevo_7.txt	6	0.537809	0.000000	0.000000
B_NS-PP-mosquin-1967_final_coevo_8.txt	5	0.391087	0.000000	0.000000
B_NS-PP-mosquin-1967_final_coevo_9.txt	5	0.625390	0.000000	0.000000
B_NS-PP-mosquin-1967_final_control_1.txt	7	0.444973	0.000000	0.000000
B_NS-PP-mosquin-1967_final_control_10.txt	5	0.453686	0.000000	0.000000
B_NS-PP-mosquin-1967_final_control_11.txt	4	0.318668	0.000000	0.000000
B_NS-PP-mosquin-1967_final_control_12.txt	5	0.391087	0.000000	0.000000
B_NS-PP-mosquin-1967_final_control_13.txt	5	0.479339	0.000000	0.000000
B_NS-PP-mosquin-1967_final_control_14.txt	5	0.483025	0.000000	0.000000
B_NS-PP-mosquin-1967_final_control_15.txt	6	0.555291	0.000000	0.000000
B_NS-PP-mosquin-1967_final_control_16.txt	5	0.391087	0.000000	0.000000
B_NS-PP-mosquin-1967_final_control_17.txt	6	0.524235	0.000000	0.000000
B_NS-PP-mosquin-1967_final_control_18.txt	5	0.432610	0.000000	0.000000
B_NS-PP-mosquin-1967_final_control_19.txt	5	0.437045	0.000000	0.000000
B_NS-PP-mosquin-1967_final_control_2.txt	4	0.393519	0.000000	0.000000
B_NS-PP-mosquin-1967_final_control_20.txt	6	0.488227	0.000000	0.000000
B_NS-PP-mosquin-1967_final_control_21.txt	6	0.436385	0.000000	0.000000
B_NS-PP-mosquin-1967_final_control_22.txt	6	0.484912	0.000000	0.000000
B_NS-PP-mosquin-1967_final_control_23.txt	5	0.536000	0.000000	0.000000
